trdwk	mkt_rf	smb	hml	umd	rf	smb_equal	hml_equal	umd_equal	rmw	cma	rmw_equal	cma_equal
1996-08-02	-0.000762386	0.0081450345	0.0052542283	-0.005645749	0.00169	0.0032267475	0.0103979555	0.005455352	-0.027439106	0.0143083974	-0.007775583	0.0050766595
1996-08-09	0.0381519859	-0.004263589	0.0111141988	-0.006046252	0.00169	-0.004979755	0.0071483954	-0.006136518	-0.011655883	0.0109933019	0.0003322992	0.0054238365
1996-08-16	-0.023294294	-0.013052013	-0.004399239	0.0191549667	0.00169	-0.007877893	-0.003985378	0.0127707475	0.0220324913	-0.007650122	0.027332443	-0.008028364
1996-08-23	-0.067821337	-0.027447126	-0.034661296	-0.002964812	0.001386	-0.01610898	-0.035847841	-0.032862598	0.0212554788	-0.016250022	0.0221887139	-0.018392212
1996-08-30	0.0580737742	-0.020630151	0.0905002725	0.0789842614	0.001386	-0.01693962	0.099902634	0.0909133615	0.0103888677	-0.025289822	0.01928866	-0.022421933
1996-09-06	-0.009568112	0.029702996	0.0430544716	-0.002931207	0.001386	0.0254169644	0.0497875762	0.0061325741	-0.038651145	0.0050712596	-0.0413825	0.0057457537
1996-09-13	-0.034519898	0.0061855556	-0.019594306	-0.021376466	0.001386	0.009023994	-0.020086397	-0.028587402	-0.039701263	0.0151204343	-0.01434851	-0.001199447
1996-09-20	0.0234111237	-0.004179619	0.0238831692	0.0081059226	0.001386	-0.004958661	0.0268914059	0.0148556806	-0.019300662	0.0209808745	-0.008717558	0.0081584365
1996-09-27	0.0677824301	-0.033227596	-0.02583186	0.0220774873	0.001386	-0.022876097	-0.012686601	0.0240171237	0.0077282662	-0.031135725	0.0295312463	-0.029688039
1996-10-04	0.0120778981	0.0458799459	0.0513500057	-0.008914442	0.001386	0.0318232381	0.0480404934	0.0093208956	-0.044300693	0.0225598421	-0.05447813	0.0279804231
1996-10-11	0.0774285717	-0.002636859	0.0655630635	-0.023771778	0.001386	-0.011434058	0.0729494008	-0.008932836	0.004657167	0.032798117	-0.014890486	0.0345670906
1996-10-18	0.0338634501	0.0127864114	0.0301690289	0.0195737525	0.001386	0.0221827601	0.0194490531	0.0160487922	-0.053999691	0.0600605815	-0.025837481	0.022185264
1996-10-25	0.097074956	0.0256422036	-0.002122824	-0.062576886	0.001386	0.0190239856	0.003548429	-0.073382865	-0.055381912	0.0127755131	-0.052209599	0.0399236708
1996-11-01	-0.01714625	0.022568756	0.1037459132	0.1174770931	0.001386	0.0116580664	0.1139463682	0.1437425618	-0.033946427	0.0033393007	-0.02395528	0.0265324391
1996-11-08	-0.017521087	-0.001539397	-0.023389811	-0.011788962	0.001386	-0.000708671	-0.034299849	-0.018151735	0.02732474	-0.010607278	0.0271368525	-0.015936953
1996-11-15	0.0988486891	0.0113243871	0.0861484001	0.0980661681	0.001386	0.0132732947	0.0994327576	0.1133156316	-0.015274479	-0.011959503	-0.014776485	0.0209816411
1996-11-22	0.0130607808	0.0360356491	0.0434776205	0.0012047831	0.001386	0.0266208864	0.0420369635	0.0296785907	-0.019558741	0.0201715528	-0.00989261	0.016174623
1996-11-29	0.0426415704	0.0120764458	-0.037358932	-0.081549267	0.001386	0.0094843252	-0.03967241	-0.090117035	0.0035227329	0.018751406	-0.016279902	0.0127584074
1996-12-06	0.1230461826	0.0153972867	-0.044816001	-0.10600992	0.001386	0.0144015869	-0.045540879	-0.124746302	-0.02152484	0.035184164	-0.02891081	0.0203090898
1996-12-13	-0.071512712	-0.019709562	0.0241217865	0.0655800523	0.001386	-0.017157198	0.0295135859	0.0710146636	0.0435440463	-0.025433382	0.0417041814	-0.013192023
1996-12-20	-0.258361883	-0.058667408	-0.07511279	-0.0464055	0.001386	-0.040585665	-0.08028162	-0.074155448	0.1090723835	-0.066127849	0.0735418363	-0.060698852
1996-12-27	0.0170440679	-0.048907068	-0.051325441	-0.030145377	0.001386	-0.042693424	-0.049497442	-0.050866356	0.0118998966	-0.002920148	0.0366875704	-0.019230252
1997-01-03	-0.001864412	0.0387042676	0.0392560141	0.031229891	0.001386	0.0282714895	0.0374809684	0.0520994038	-0.02344159	0.0122082893	-0.024420192	0.0167106211
1997-01-10	0.0087032241	0.0025517046	-0.025751031	-0.027667472	0.001386	-0.001935243	-0.026931233	-0.030786563	-0.002792749	0.0079316751	0.0030042209	-0.000913049
1997-01-17	0.015895044	0.0139446225	0.0351658959	0.037136537	0.001386	0.0128492606	0.0306596022	0.0386488716	-0.017052969	-0.001514896	-0.009654897	0.0029085279
